Số màu cần: 23
Đỉnh 1 có màu: 14
Đỉnh 2 có màu: 7
Đỉnh 3 có màu: 16
Đỉnh 4 có màu: 14
Đỉnh 5 có màu: 7
Đỉnh 6 có màu: 3
Đỉnh 7 có màu: 7
Đỉnh 8 có màu: 6
Đỉnh 9 có màu: 5
Đỉnh 10 có màu: 3
Đỉnh 11 có màu: 2
Đỉnh 12 có màu: 2
Đỉnh 13 có màu: 14
Đỉnh 14 có màu: 18
Đỉnh 15 có màu: 4
Đỉnh 16 có màu: 1
Đỉnh 17 có màu: 14
Đỉnh 18 có màu: 20
Đỉnh 19 có màu: 4
Đỉnh 20 có màu: 13
Đỉnh 21 có màu: 7
Đỉnh 22 có màu: 1
Đỉnh 23 có màu: 6
Đỉnh 24 có màu: 14
Đỉnh 25 có màu: 18
Đỉnh 26 có màu: 15
Đỉnh 27 có màu: 17
Đỉnh 28 có màu: 13
Đỉnh 29 có màu: 9
Đỉnh 30 có màu: 20
Đỉnh 31 có màu: 9
Đỉnh 32 có màu: 10
Đỉnh 33 có màu: 10
Đỉnh 34 có màu: 6
Đỉnh 35 có màu: 18
Đỉnh 36 có màu: 13
Đỉnh 37 có màu: 3
Đỉnh 38 có màu: 16
Đỉnh 39 có màu: 16
Đỉnh 40 có màu: 16
Đỉnh 41 có màu: 17
Đỉnh 42 có màu: 17
Đỉnh 43 có màu: 12
Đỉnh 44 có màu: 21
Đỉnh 45 có màu: 9
Đỉnh 46 có màu: 3
Đỉnh 47 có màu: 22
Đỉnh 48 có màu: 8
Đỉnh 49 có màu: 8
Đỉnh 50 có màu: 9
Đỉnh 51 có màu: 13
Đỉnh 52 có màu: 15
Đỉnh 53 có màu: 10
Đỉnh 54 có màu: 19
Đỉnh 55 có màu: 12
Đỉnh 56 có màu: 2
Đỉnh 57 có màu: 2
Đỉnh 58 có màu: 19
Đỉnh 59 có màu: 13
Đỉnh 60 có màu: 18
Đỉnh 61 có màu: 16
Đỉnh 62 có màu: 5
Đỉnh 63 có màu: 13
Đỉnh 64 có màu: 5
Đỉnh 65 có màu: 10
Đỉnh 66 có màu: 10
Đỉnh 67 có màu: 17
Đỉnh 68 có màu: 11
Đỉnh 69 có màu: 15
Đỉnh 70 có màu: 18
Đỉnh 71 có màu: 6
Đỉnh 72 có màu: 12
Đỉnh 73 có màu: 11
Đỉnh 74 có màu: 7
Đỉnh 75 có màu: 5
Đỉnh 76 có màu: 6
Đỉnh 77 có màu: 9
Đỉnh 78 có màu: 8
Đỉnh 79 có màu: 11
Đỉnh 80 có màu: 12
Đỉnh 81 có màu: 3
Đỉnh 82 có màu: 15
Đỉnh 83 có màu: 12
Đỉnh 84 có màu: 11
Đỉnh 85 có màu: 15
Đỉnh 86 có màu: 11
Đỉnh 87 có màu: 15
Đỉnh 88 có màu: 16
Đỉnh 89 có màu: 15
Đỉnh 90 có màu: 17
Đỉnh 91 có màu: 4
Đỉnh 92 có màu: 9
Đỉnh 93 có màu: 14
Đỉnh 94 có màu: 2
Đỉnh 95 có màu: 20
Đỉnh 96 có màu: 1
Đỉnh 97 có màu: 4
Đỉnh 98 có màu: 4
Đỉnh 99 có màu: 21
Đỉnh 100 có màu: 9
Đỉnh 101 có màu: 8
Đỉnh 102 có màu: 19
Đỉnh 103 có màu: 4
Đỉnh 104 có màu: 14
Đỉnh 105 có màu: 2
Đỉnh 106 có màu: 13
Đỉnh 107 có màu: 11
Đỉnh 108 có màu: 2
Đỉnh 109 có màu: 18
Đỉnh 110 có màu: 7
Đỉnh 111 có màu: 21
Đỉnh 112 có màu: 1
Đỉnh 113 có màu: 3
Đỉnh 114 có màu: 11
Đỉnh 115 có màu: 8
Đỉnh 116 có màu: 6
Đỉnh 117 có màu: 1
Đỉnh 118 có màu: 5
Đỉnh 119 có màu: 15
Đỉnh 120 có màu: 12
